Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
Aruba,ABW,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Military expenditure (current USD),MS.MIL.XPND.CD,,,,321692705.290135,426835467.933919,523675713.748699,562790768.389177,598887804.075536,651839873.849006,748192662.805837,808051583.819031,930569413.181881,978416632.720141,1341007129.32249,1912090260.16004,2359066011.77603,2711217181.47119,3516242094.08135,4436187157.32163,5059938377.44219,5688875761.40021,5821777472.14513,5586490773.70499,5954550238.35962,6059014945.37724,5268638660.93183,5815940446.62014,7253046582.51314,8315635574.15312,8397362648.98043,9775857050.41861,8341006681.63332,6310707062.68746,7129497156.21002,5621952774.36164,5084815803.2941,4478141130.68525,4739305120.39884,4137540985.31222,5722502786.54834,5401733241.50712,4488594404.40717,4895651489.67202,5646539416.27222,7366020357.18671,8391802332.31698,10168981008.6831,11234075317.1965,13548644937.3619,13534612775.6365,11939662796.3399,13243429787.9745,13839864655.0265,15581977215.0537,16829353040.2181,15383318097.6508,13659413872.3535,16172675472.1069,12270486684.636,11691723928.9498,11014698607.7423,11219314898.6431,11664366311.7212,
Afghanistan,AFG,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,2939585.50125376,,,3341271.55123016,3581366.35143003,4203664.56865451,5393251.2159455,6127288.0633346,,,,,,,,,,,,,,,,,,,,,,,,,,,125111557.457054,122727193.134874,131346231.269517,219580214.296198,240532594.620985,251869514.820335,298147102.825701,325806949.72333,238583385.374322,217194107.113298,268238787.719988,199517108.764826,185878310.062383,191407113.244397,198074728.574408,226306243.729258,279576954.925193,278250788.014927,,
Africa Western and Central,AFW,Military expenditure (current USD),MS.MIL.XPND.CD,,65730524.3831638,90028246.0092655,100571059.526628,118886714.16175,145634004.191034,150726614.016474,279405116.483602,468085528.047781,792195080.16297,805756788.47743,798401254.138415,1073660122.48322,1225931367.71765,1569425244.50618,3325926333.27176,2972064214.24566,3538129233.05042,3531858527.90589,3749098042.56657,3819500057.55731,2995896467.39343,2333427778.63198,2271656004.89054,1833692045.21992,1782805894.30473,1325887034.64413,1034038528.72362,1028974102.24905,869622423.787789,1058239033.95801,1017904206.18611,1121450093.76604,1223171278.3599,889421995.123373,1114380570.52239,1243017431.17495,1365594415.16732,1630290670.11551,1034573025.66621,959300982.609088,1269265105.71866,1677374103.82213,1793043312.25745,1955986947.41056,2015580275.88297,2343547220.22438,2947400545.65038,4420055281.36649,4304860294.26092,4658214435.30059,4987982651.04178,4921502460.77794,6171135414.06019,6451564749.92889,5016333439.14496,5575535214.60029,5510400667.6926,6325121729.78858,6166715027.35425,7186733072.87733,9682825757.84904,8409466942.90895,
Angola,AGO,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,,,343271609.064777,504712881.877131,497359449.16104,618891637.14152,668493883.280968,778628250.551507,1066247743.83314,1146467009.82686,1156494418.07607,1487398890.30015,1469382980.14573,1948559395.68153,1751153151.94866,1031247788.04428,794138821.161656,1774397876.82742,594991178.694447,233843714.8893,159741933.468199,456780475.026196,170278292.568682,1066588789.23285,583621333.598924,404299139.990661,438686245.411232,670021164.432494,817533582.152083,1365055398.69044,1970309115.18376,2032432883.4343,3163591147.40902,3311193245.27722,3500794836.44649,3639496373.5446,4144634851.46856,6090751702.00884,6846249313.34052,3608299114.61674,2764054937.15976,3062872913.9838,1983613748.00089,1470938717.28754,993594404.625879,981451011.871799,1622763731.95097,
Albania,ALB,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31559657.4817579,39289843.4285042,49649504.9316606,50907521.7778257,45713356.1086709,29825491.9997583,33638047.439804,42784205.2131221,45362503.3922719,53232045.1615151,58649352.5025864,76142881.7606657,100922358.435493,110140852.685934,140983900.659916,194840309.240843,255677957.818501,182736862.497776,185893241.995074,197006789.236335,183204695.660212,180015508.820867,178120368.027763,132350667.590834,130853203.626464,144382688.719935,175886688.575874,197225913.318893,196596308.984418,222814540.116661,288724229.263441,
Andorra,AND,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Military expenditure (current USD),MS.MIL.XPND.CD,,,833229524.052428,916446054.459129,1225338998.21202,1416443188.74546,1548666185.25596,1684446591.76602,2031297443.33655,2394194611.87805,2980085336.48712,3346818698.86206,3722311542.14614,5149216359.07877,5981464636.58954,6542589257.73818,7664547685.31096,21087366663.7113,23611330023.6793,28041477384.0916,34463402591.1507,39939322642.2365,40382443515.1479,34868573704.2001,36994839308.1242,32977558769.3588,14390091251.0454,29739839768.0076,28872826806.4862,24604659766.3957,36512289679.011,41035099160.5148,32810749317.6456,29606345066.5727,29413366449.6806,26684323433.9858,26486123008.5846,35484055036.0368,39322695875.049,36889627318.7832,40740633349.2575,42770280443.9921,40851036166.6673,42622220140.0267,48508764668.0929,54649194506.4787,61282170542.184,73572238703.7618,86261643585.807,91504042712.326,97976367583.5363,107921688720.066,121983945405.818,142683802368.437,155223007899.098,137950189479.726,111884463391.743,119045138484.832,120449681386.238,112723020269.13,110059599092.79,121463569118.905,137863261191.272,
United Arab Emirates,ARE,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3335766741.48489,4010347174.94894,4233083730.42886,5875833900.61266,5797957794.41797,5354118447.92376,5834717494.89449,6816882232.81144,6604220558.20286,7165418652.14432,8460993873.38325,11571681415.9292,13836351259.3601,17504697072.8387,19181756296.8005,19024098025.8679,23561061946.9027,22755071477.1954,,,,,,,,,
Argentina,ARG,Military expenditure (current USD),MS.MIL.XPND.CD,0,0,305162407.203668,242219771.188823,245740498.034076,252407602.894431,279225436.289744,251930719.052261,337142857.142857,442857142.857143,445713893.877895,519719484.172883,766000000,1294000000,1626000000,798359535.20164,2050248958.80214,2058223941.63377,3103989946.59127,5057062803.25292,6477389013.47732,5882767126.46132,2279872697.46359,2848053181.38652,2527749814.85341,2027221261.23072,2449545720.61181,2485659655.83174,2696341658.47862,1440922190.20173,2050907629.17129,2858778842.10019,3254455191.68378,3368550452.17659,3754724686.88939,3801950487.62191,3379138769.76541,3340670335.16758,3398699349.67484,3461730865.43272,3266633316.65833,3183591795.89795,1114172482.91036,1374873734.32668,1465809188.24616,1699579151.82907,1847553129.83947,2296448241.88781,2788980204.56974,2981852290.09382,3475348407.46349,4051930104.57065,4563217858.77234,5137974300.9699,4979442724.4582,5482616700.96393,4509647660.05234,5459643672.45401,3842852365.3176,3132654926.06745,2830929705.21542,3073433322.80813,2577581833.22657,
Armenia,ARM,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9829763.86600769,,52228583.8170226,52410268.5482839,64062121.1905135,66757573.0568511,68234148.5659606,68052142.0654426,66247626.4597048,64106405.6523643,76587998.887282,98070488.1985412,140738102.677157,188189116.431112,280108688.343921,395994365.442251,359499343.487034,395011507.787829,390871433.902191,380571678.896068,444551859.501106,457807021.791353,447379807.506819,431396218.601658,443610413.340995,513252026.482368,652000174.824083,633960400.11526,619435471.710093,795201580.049707,
American Samoa,ASM,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Military expenditure (current USD),MS.MIL.XPND.CD,459760073.561612,470960075.353612,489440078.310413,553280088.524814,655760104.921617,787360125.97762,986720157.875225,1197840191.65443,1321600211.45603,1314880210.38083,1277360204.37763,1331754789.44566,1484443744.94753,1855729306.59264,2127274762.94236,2268707674.46336,2441084024.61737,2500485127.38059,2816316205.75076,3100685079.26643,3657867289.72814,4323644156.90375,4459544581.75223,4511671066.02643,4925319432.74361,4386859325.7862,4606710027.60751,5057135655.16952,5836347868.20948,6300015815.27756,6704213698.03132,7023509067.11535,6882091580.0683,6733829289.52236,7459696581.9777,7665878445.99453,8202776516.98934,7936884917.39524,7107542890.88659,7770250653.24688,7273760312.61052,7043145895.39887,7946766201.59082,9926649415.33553,11995219709.5054,13237798498.6292,14239779513.0914,17186440961.6173,18633092318.2741,18960138513.0129,23217692815.7335,26597198655.3381,26216580848.4356,24825262588.8168,25783708714.0042,24046205860.2554,26382947050.0183,27691112416.8515,26839820914.4018,26079346314.3255,27300894700.6194,32718066816.8168,32298918664.3295,
